level,section,row,seat,zone,zone_id,price,map_x,map_y,seat_type,aisle,view_image_id,tessitura_seat,seat_id
orchestra,orchestra,D,101,Orchestra Premium,5058,351.0,999.44,882.75,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173328,4a627798-2363-4059-ae29-b2dd63f427c1
orchestra,orchestra,D,103,Orchestra Premium,5058,351.0,1027.75,884.12,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173329,ae266a81-c897-4292-a015-6972ee04fffe
orchestra,orchestra,D,105,Orchestra Premium,5058,351.0,1056.03,885.26,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173330,125ce5f6-d38a-4472-a655-441ab886a167
orchestra,orchestra,D,107,Orchestra Premium,5058,351.0,1084.31,886.95,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173331,faabbe46-22e9-402e-a1bc-34be98a63a83
orchestra,orchestra,D,109,Orchestra Premium,5058,351.0,1112.54,889.87,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173332,12985fe3-6327-4584-b832-9b57dd02df74
orchestra,orchestra,D,111,Orchestra Premium,5058,351.0,1140.76,892.09,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173333,9263cd47-542b-413b-af73-05fc9becdaa2
orchestra,orchestra,D,113,Orchestra Premium,5058,351.0,1168.95,895.09,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173334,9925f70b-44b5-4b4d-b6a0-d0b09ac3e713
orchestra,orchestra,D,115,Orchestra Premium,5058,351.0,1197.1,898.36,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173335,eaadd944-c09d-48f4-ab0f-b32ff8f82a14
orchestra,orchestra,D,117,Orchestra Premium,5058,351.0,1225.23,901.89,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173336,1c5cda6d-784a-48c9-bcc0-7844a450844c
orchestra,orchestra,D,119,Orchestra Premium,5058,351.0,1253.33,905.69,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173337,47ef359d-7527-43de-9e79-5b506286108c
orchestra,orchestra,D,121,Orchestra Premium,5058,351.0,1281.4,910.77,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173338,bc81c4ca-03c5-4164-b140-3dab9945c3c3
orchestra,orchestra,E,101,Orchestra Premium,5058,351.0,971.1,846.06,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173247,3d85372d-7dfe-4124-b8ff-0bf2d58f6488
orchestra,orchestra,E,103,Orchestra Premium,5058,351.0,999.42,845.95,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173248,57189b99-8b17-4ffe-a8e5-2a71910bd6e5
orchestra,orchestra,E,105,Orchestra Premium,5058,351.0,1027.73,847.26,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173249,655d33df-8889-4b47-a29d-41b266463c42
orchestra,orchestra,E,107,Orchestra Premium,5058,351.0,1056.02,848.35,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173250,cb7d4f07-a88f-4ccb-941c-1070a9991c21
orchestra,orchestra,E,109,Orchestra Premium,5058,351.0,1084.29,849.99,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173251,50694d03-c5a1-4033-9567-4cd489dc8813
orchestra,orchestra,E,111,Orchestra Premium,5058,351.0,1112.53,851.86,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173252,545c46d8-8477-4129-b951-3af5f42ec928
orchestra,orchestra,E,113,Orchestra Premium,5058,351.0,1140.74,855.03,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173253,4fe2745c-94c0-44a1-89a9-80bdc09e8d48
orchestra,orchestra,E,115,Orchestra Premium,5058,351.0,1168.94,857.98,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173254,0680699c-80d6-41a2-af39-8957e7a3b4dd
orchestra,orchestra,E,117,Orchestra Premium,5058,351.0,1197.1,861.19,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173255,f2a8d8fc-11df-4df6-8129-2e674936b0f2
orchestra,orchestra,E,119,Orchestra Premium,5058,351.0,1225.24,864.67,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173256,c3d21f1f-e909-40b3-963d-a7514919f2c6
orchestra,orchestra,E,121,Orchestra Premium,5058,351.0,1253.34,868.42,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173257,4cda5f72-c567-491e-a68b-7f89f620dbea
orchestra,orchestra,E,123,Orchestra Premium,5058,351.0,1281.42,873.46,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173258,4aaf59ec-f5b8-472a-8caa-37f7e2d8146a
orchestra,orchestra,F,101,Orchestra Premium,5058,351.0,999.5,808.21,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173168,b8df567c-ff55-487a-ba54-6e70f6f447d2
orchestra,orchestra,F,103,Orchestra Premium,5058,351.0,1027.8,809.68,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173169,2bbaad57-3c47-4fa8-8fa0-ac609c1bc30f
orchestra,orchestra,F,105,Orchestra Premium,5058,351.0,1056.08,810.93,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173170,3ced8c1e-bf27-4275-ba2e-1683bc5185a9
orchestra,orchestra,F,107,Orchestra Premium,5058,351.0,1084.34,812.73,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173171,0cbe56da-5ef3-46cd-8564-92e03d7bb40d
orchestra,orchestra,F,109,Orchestra Premium,5058,351.0,1112.57,814.75,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173172,a4d0fb77-11d9-45b1-ada7-4783071b8bc1
orchestra,orchestra,F,111,Orchestra Premium,5058,351.0,1140.78,817.07,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173173,a42487a9-e838-4c3a-9b23-dff138b143ba
orchestra,orchestra,F,113,Orchestra Premium,5058,351.0,1168.95,820.17,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173174,44821bfc-7ec3-4ae8-af90-74b41faa8f0c
orchestra,orchestra,F,115,Orchestra Premium,5058,351.0,1197.1,823.55,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173175,ecbf6a09-fefc-4ac3-866e-c4f70be8aec6
orchestra,orchestra,F,117,Orchestra Premium,5058,351.0,1225.22,827.18,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173176,52ac1afc-2d13-47c9-94c6-2d223e68257e
orchestra,orchestra,F,119,Orchestra Premium,5058,351.0,1253.3,831.09,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173177,b4a7615f-52e8-4e29-8f52-2ac53a791528
orchestra,orchestra,F,121,Orchestra Premium,5058,351.0,1281.35,836.27,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173178,6707763b-bbfa-48f7-ab42-85fe2830c5b6
orchestra,orchestra,G,101,Orchestra Premium,5058,351.0,971.14,771.48,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173087,ab368657-673f-4768-809c-6bd4813cedce
orchestra,orchestra,G,103,Orchestra Premium,5058,351.0,999.46,771.47,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173088,b369e884-a46d-4ae6-bd21-1a9b505b5804
orchestra,orchestra,G,105,Orchestra Premium,5058,351.0,1027.77,772.87,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173089,f2982a1d-1d29-4290-b60a-148593e1c3d8
orchestra,orchestra,G,107,Orchestra Premium,5058,351.0,1056.05,774.05,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173090,9e0430e7-fbd7-4eb1-9246-246c1f7e0c9e
orchestra,orchestra,G,109,Orchestra Premium,5058,351.0,1084.32,775.79,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173091,c4e92886-5055-4bbf-8780-eba291bb9a18
orchestra,orchestra,G,111,Orchestra Premium,5058,351.0,1112.55,777.75,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173092,80c9fa6a-2d56-4e95-85fb-8391e8c57ed9
orchestra,orchestra,G,113,Orchestra Premium,5058,351.0,1140.76,780.01,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173093,cbfee0cb-7f9c-48bb-93ed-8066c1f97560
orchestra,orchestra,G,115,Orchestra Premium,5058,351.0,1168.95,783.04,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173094,7285ebb9-5a39-46f7-9d47-83bfcc597119
orchestra,orchestra,G,117,Orchestra Premium,5058,351.0,1197.1,786.35,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173095,438f404d-664b-4ffc-9428-f2a0f30825d2
orchestra,orchestra,G,119,Orchestra Premium,5058,351.0,1225.23,789.92,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173096,0509da66-9610-4f8f-b02a-0b9011f594f6
orchestra,orchestra,G,121,Orchestra Premium,5058,351.0,1253.32,793.77,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173097,68dc28b9-91cd-4f04-a074-1624dfdeea78
orchestra,orchestra,G,123,Orchestra Premium,5058,351.0,1281.38,798.9,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173098,03d2737b-2937-45a0-9f5a-4fb951d3c3d5
orchestra,orchestra,H,101,Orchestra Premium,5058,351.0,999.46,734.47,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173008,1a1d9005-a6ea-4185-8502-4a1b28e554aa
orchestra,orchestra,H,103,Orchestra Premium,5058,351.0,1027.77,735.87,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173009,744162af-be06-49ff-8ef0-ea6a26793191
orchestra,orchestra,H,105,Orchestra Premium,5058,351.0,1056.05,737.04,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173010,5b7e2412-23b5-461d-932e-3798a63f5ed5
orchestra,orchestra,H,107,Orchestra Premium,5058,351.0,1084.32,738.77,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173011,13530a7a-8987-4604-a394-73cd90d1432d
orchestra,orchestra,H,109,Orchestra Premium,5058,351.0,1112.55,740.72,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173012,4cc49f5f-8d09-46d4-a1a2-4420f0008b92
orchestra,orchestra,H,111,Orchestra Premium,5058,351.0,1140.76,742.97,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173013,f71c205a-1c04-4006-8bf4-0e8d35f8d1ea
orchestra,orchestra,H,113,Orchestra Premium,5058,351.0,1168.94,746.0,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173014,ead0bfd5-a3ff-48b0-82ce-4f533f1bac67
orchestra,orchestra,H,115,Orchestra Premium,5058,351.0,1197.1,749.29,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173015,0e42462d-712d-41f7-8f05-895c91e46d8b
orchestra,orchestra,H,117,Orchestra Premium,5058,351.0,1225.23,752.86,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173016,3487074f-622d-48ad-b9cb-daeda7b21894
orchestra,orchestra,H,119,Orchestra Premium,5058,351.0,1253.32,756.69,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173017,35e4072a-9724-4fec-a59c-d689b9f21952
orchestra,orchestra,H,121,Orchestra Premium,5058,351.0,1281.38,761.81,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173018,6a69dbc9-4ece-47e4-b288-c96029394d67
orchestra,orchestra,J,101,Orchestra Premium,5058,351.0,971.12,697.63,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172927,13ea2a18-cf49-4cd4-ba25-c643e579c497
orchestra,orchestra,J,103,Orchestra Premium,5058,351.0,999.44,697.57,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172928,dc62240f-95fc-4d73-aba9-806c5ac80891
orchestra,orchestra,J,105,Orchestra Premium,5058,351.0,1027.75,698.94,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172929,a2b9329e-2710-4aa0-babd-fd02c0cfaf1f
orchestra,orchestra,J,107,Orchestra Premium,5058,351.0,1056.03,700.08,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172930,e7e6fdcf-84d1-40a1-8522-cbc86c6f6a75
orchestra,orchestra,J,109,Orchestra Premium,5058,351.0,1084.31,701.78,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172931,22aa64b9-1183-4e86-92fd-899ab4835edd
orchestra,orchestra,J,111,Orchestra Premium,5058,351.0,1112.54,703.7,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172932,a0f79005-bb0c-4ba2-9490-187cda609c1e
orchestra,orchestra,J,113,Orchestra Premium,5058,351.0,1140.76,705.92,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172933,9520d13a-ed26-48e2-9f5b-d85630a2a499
orchestra,orchestra,J,115,Orchestra Premium,5058,351.0,1168.95,708.92,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172934,a207a197-ba4e-4f82-82c3-63b371ecec65
orchestra,orchestra,J,117,Orchestra Premium,5058,351.0,1197.1,712.19,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172935,09c582e6-8ba4-4413-bb0a-a382a0453360
